route,link,from_code,to_code,from_area,to_area,segment,direction,layer,flow_3h,PHF3h,flow_peak_hour
T1,1,201,202,TiratCarmel,Matam-NeotPeres,trunk,down,bus,373.6,0.6,220.1
T1,2,202,203,Matam-NeotPeres,HofCarmel-NeveDavid,trunk,down,bus,1342.1,0.6,790.5
T1,3,203,204,HofCarmel-NeveDavid,Hecht-Shprintzak,trunk,down,bus,1352.4,0.6,796.6
T1,4,204,205,Hecht-Shprintzak,EinHayam,trunk,down,bus,1141.3,0.6,672.2
T1,5,205,206,EinHayam,BatGalim-KiryatEliezer,trunk,down,bus,1018.1,0.6,599.6
T1,6,206,207,BatGalim-KiryatEliezer,Hamoshava,trunk,down,bus,971.8,0.6,572.4
T1,7,207,208,Hamoshava,LowerCity,trunk,down,bus,997.8,0.6,587.7
T1,8,208,209,LowerCity,Namal-Giborim,trunk,down,bus,1218.4,0.6,717.7
T1,9,209,210,Namal-Giborim,Hamifrats,trunk,down,bus,1034.7,0.6,609.5
T1,10,210,211,Hamifrats,Bazan-Hutsot,trunk,down,bus,966.1,0.6,569.0
T1,11,211,212,Bazan-Hutsot,TsometKiryatAta,trunk,down,bus,1037.2,0.6,610.9
T1,12,212,213,TsometKiryatAta,KiryatAta North,branch,down,bus,1153.6,0.6,679.5
T1,13,213,214,KiryatAta North,KiryatAta North-East,branch,down,bus,917.9,0.6,540.7
T1,14,214,215,KiryatAta North-East,Shefaram,branch,down,bus,688.9,0.6,405.8
T1,15,215,216,Shefaram,Hamovil,branch,down,bus,383.4,0.6,225.8
T1,16,216,217,Hamovil,Nazareth,branch,down,bus,390.0,0.6,229.7
T1,1,201,202,TiratCarmel,Matam-NeotPeres,trunk,up,bus,888.8,0.6,523.5
T1,2,202,203,Matam-NeotPeres,HofCarmel-NeveDavid,trunk,up,bus,869.1,0.6,511.9
T1,3,203,204,HofCarmel-NeveDavid,Hecht-Shprintzak,trunk,up,bus,1020.4,0.6,601.0
T1,4,204,205,Hecht-Shprintzak,EinHayam,trunk,up,bus,1497.2,0.6,881.9
T1,5,205,206,EinHayam,BatGalim-KiryatEliezer,trunk,up,bus,1688.9,0.6,994.8
T1,6,206,207,BatGalim-KiryatEliezer,Hamoshava,trunk,up,bus,1338.3,0.6,788.2
T1,7,207,208,Hamoshava,LowerCity,trunk,up,bus,1367.3,0.6,805.3
T1,8,208,209,LowerCity,Namal-Giborim,trunk,up,bus,876.6,0.6,516.3
T1,9,209,210,Namal-Giborim,Hamifrats,trunk,up,bus,685.1,0.6,403.5
T1,10,210,211,Hamifrats,Bazan-Hutsot,trunk,up,bus,384.5,0.6,226.5
T1,11,211,212,Bazan-Hutsot,TsometKiryatAta,trunk,up,bus,264.0,0.6,155.5
T1,12,212,213,TsometKiryatAta,KiryatAta North,branch,up,bus,108.5,0.6,63.9
T1,13,213,214,KiryatAta North,KiryatAta North-East,branch,up,bus,70.4,0.6,41.5
T1,14,214,215,KiryatAta North-East,Shefaram,branch,up,bus,42.3,0.6,24.9
T1,15,215,216,Shefaram,Hamovil,branch,up,bus,45.1,0.6,26.6
T1,16,216,217,Hamovil,Nazareth,branch,up,bus,43.3,0.6,25.5
T1,1,201,202,TiratCarmel,Matam-NeotPeres,trunk,down,car,1004.2,0.6,580.3
T1,2,202,203,Matam-NeotPeres,HofCarmel-NeveDavid,trunk,down,car,3190.6,0.6,1843.9
T1,3,203,204,HofCarmel-NeveDavid,Hecht-Shprintzak,trunk,down,car,3163.1,0.6,1827.9
T1,4,204,205,Hecht-Shprintzak,EinHayam,trunk,down,car,3082.8,0.6,1781.5
T1,5,205,206,EinHayam,BatGalim-KiryatEliezer,trunk,down,car,2797.4,0.6,1616.6
T1,6,206,207,BatGalim-KiryatEliezer,Hamoshava,trunk,down,car,4406.7,0.6,2546.6
T1,7,207,208,Hamoshava,LowerCity,trunk,down,car,2872.8,0.6,1660.2
T1,8,208,209,LowerCity,Namal-Giborim,trunk,down,car,3111.5,0.6,1798.1
T1,9,209,210,Namal-Giborim,Hamifrats,trunk,down,car,3076.9,0.6,1778.1
T1,10,210,211,Hamifrats,Bazan-Hutsot,trunk,down,car,3496.6,0.6,2020.7
T1,11,211,212,Bazan-Hutsot,TsometKiryatAta,trunk,down,car,3515.8,0.6,2031.8
T1,12,212,213,TsometKiryatAta,KiryatAta North,branch,down,car,4267.8,0.6,2466.3
T1,13,213,214,KiryatAta North,KiryatAta North-East,branch,down,car,4157.8,0.6,2402.8
T1,14,214,215,KiryatAta North-East,Shefaram,branch,down,car,3302.8,0.6,1908.7
T1,15,215,216,Shefaram,Hamovil,branch,down,car,2270.9,0.6,1312.3
T1,16,216,217,Hamovil,Nazareth,branch,down,car,1781.3,0.6,1029.4
T1,1,201,202,TiratCarmel,Matam-NeotPeres,trunk,up,car,4012.7,0.6,2511.1
T1,2,202,203,Matam-NeotPeres,HofCarmel-NeveDavid,trunk,up,car,2621.5,0.6,1640.6
T1,3,203,204,HofCarmel-NeveDavid,Hecht-Shprintzak,trunk,up,car,2637.9,0.6,1650.8
T1,4,204,205,Hecht-Shprintzak,EinHayam,trunk,up,car,3281.8,0.6,2053.7
T1,5,205,206,EinHayam,BatGalim-KiryatEliezer,trunk,up,car,4058.8,0.6,2540.0
T1,6,206,207,BatGalim-KiryatEliezer,Hamoshava,trunk,up,car,4071.9,0.6,2548.2
T1,7,207,208,Hamoshava,LowerCity,trunk,up,car,2971.9,0.6,1859.8
T1,8,208,209,LowerCity,Namal-Giborim,trunk,up,car,2511.2,0.6,1571.5
T1,9,209,210,Namal-Giborim,Hamifrats,trunk,up,car,2221.4,0.6,1390.1
T1,10,210,211,Hamifrats,Bazan-Hutsot,trunk,up,car,1360.4,0.6,851.4
T1,11,211,212,Bazan-Hutsot,TsometKiryatAta,trunk,up,car,1335.2,0.6,835.6
T1,12,212,213,TsometKiryatAta,KiryatAta North,branch,up,car,720.9,0.6,451.1
T1,13,213,214,KiryatAta North,KiryatAta North-East,branch,up,car,756.5,0.6,473.4
T1,14,214,215,KiryatAta North-East,Shefaram,branch,up,car,840.9,0.6,526.2
T1,15,215,216,Shefaram,Hamovil,branch,up,car,957.1,0.6,599.0
T1,16,216,217,Hamovil,Nazareth,branch,up,car,1092.3,0.6,683.6
T1,1,201,202,TiratCarmel,Matam-NeotPeres,trunk,down,rail,0.0,0.6,0.0
T1,2,202,203,Matam-NeotPeres,HofCarmel-NeveDavid,trunk,down,rail,0.0,0.6,0.0
T1,3,203,204,HofCarmel-NeveDavid,Hecht-Shprintzak,trunk,down,rail,0.0,0.6,0.0
T1,4,204,205,Hecht-Shprintzak,EinHayam,trunk,down,rail,0.0,0.6,0.0
T1,5,205,206,EinHayam,BatGalim-KiryatEliezer,trunk,down,rail,0.0,0.6,0.0
T1,6,206,207,BatGalim-KiryatEliezer,Hamoshava,trunk,down,rail,0.0,0.6,0.0
T1,7,207,208,Hamoshava,LowerCity,trunk,down,rail,0.0,0.6,0.0
T1,8,208,209,LowerCity,Namal-Giborim,trunk,down,rail,0.0,0.6,0.0
T1,9,209,210,Namal-Giborim,Hamifrats,trunk,down,rail,0.0,0.6,0.0
T1,10,210,211,Hamifrats,Bazan-Hutsot,trunk,down,rail,0.0,0.6,0.0
T1,11,211,212,Bazan-Hutsot,TsometKiryatAta,trunk,down,rail,0.0,0.6,0.0
T1,12,212,213,TsometKiryatAta,KiryatAta North,branch,down,rail,0.0,0.6,0.0
T1,13,213,214,KiryatAta North,KiryatAta North-East,branch,down,rail,0.0,0.6,0.0
T1,14,214,215,KiryatAta North-East,Shefaram,branch,down,rail,0.0,0.6,0.0
T1,15,215,216,Shefaram,Hamovil,branch,down,rail,0.0,0.6,0.0
T1,16,216,217,Hamovil,Nazareth,branch,down,rail,0.0,0.6,0.0
T1,1,201,202,TiratCarmel,Matam-NeotPeres,trunk,up,rail,0.0,0.6,0.0
T1,2,202,203,Matam-NeotPeres,HofCarmel-NeveDavid,trunk,up,rail,0.0,0.6,0.0
