scope,layer,direction,PHF3h applied,basis,direction value,direction p5,direction p95,study-area value,step-20 value (18-area line)
T1,car,up,0.6258,"T1, direction (203 sampled)",0.6258,0.5001,0.7556,0.6209,0.6607
T1,car,down,0.5779,"T1, direction (240 sampled)",0.5779,0.4407,0.7193,0.6209,0.6256
T1,rail,up,0.6258,bus factor,,,,,0.5890
T1,rail,down,0.5779,bus factor,,,,,0.5890
T1,bus,up,0.5890,"study area, all trips (1790 sampled)",0.7404,0.6183,0.8785,0.5890,0.5890
T1,bus,down,0.5890,"study area, all trips (1790 sampled)",0.4963,0.4324,0.7365,0.5890,0.5890
T1,rail,up,0.5890,bus factor,,,,,0.5890
T1,rail,down,0.5890,bus factor,,,,,0.5890
T1,taxi,up,0.5879,"study area, all trips (99 sampled)",1.0000,1.0000,1.0000,0.5879,0.5879
T1,taxi,down,0.5879,"study area, all trips (99 sampled)",0.9767,0.5713,1.0000,0.5879,0.5879
T1,rail,up,0.5879,bus factor,,,,,0.5890
T1,rail,down,0.5879,bus factor,,,,,0.5890
T2,car,up,0.6189,"T2, direction (332 sampled)",0.6189,0.5050,0.7585,0.6209,0.6607
T2,car,down,0.5693,"T2, direction (447 sampled)",0.5693,0.5103,0.6879,0.6209,0.6256
T2,rail,up,0.6189,bus factor,,,,,0.5890
T2,rail,down,0.5693,bus factor,,,,,0.5890
T2,bus,up,0.5918,"T2, direction (103 sampled)",0.5918,0.5422,0.7775,0.5890,0.5890
T2,bus,down,0.5890,"study area, all trips (1790 sampled)",0.5658,0.4482,0.7496,0.5890,0.5890
T2,rail,up,0.5918,bus factor,,,,,0.5890
T2,rail,down,0.5890,bus factor,,,,,0.5890
T2,taxi,up,0.5879,"study area, all trips (99 sampled)",,,,0.5879,0.5879
T2,taxi,down,0.5879,"study area, all trips (99 sampled)",0.5674,0.5327,1.0000,0.5879,0.5879
T2,rail,up,0.5879,bus factor,,,,,0.5890
T2,rail,down,0.5879,bus factor,,,,,0.5890
T3,car,up,0.6516,"T3, direction (241 sampled)",0.6516,0.5343,0.7904,0.6209,0.6607
T3,car,down,0.5695,"T3, direction (299 sampled)",0.5695,0.4776,0.6715,0.6209,0.6256
T3,rail,up,0.6516,bus factor,,,,,0.5890
T3,rail,down,0.5695,bus factor,,,,,0.5890
T3,bus,up,0.5890,"study area, all trips (1790 sampled)",0.6930,0.5806,0.8513,0.5890,0.5890
T3,bus,down,0.5890,"study area, all trips (1790 sampled)",0.5679,0.4756,0.7489,0.5890,0.5890
T3,rail,up,0.5890,bus factor,,,,,0.5890
T3,rail,down,0.5890,bus factor,,,,,0.5890
T3,taxi,up,0.5879,"study area, all trips (99 sampled)",,,,0.5879,0.5879
T3,taxi,down,0.5879,"study area, all trips (99 sampled)",0.9202,0.5713,1.0000,0.5879,0.5879
T3,rail,up,0.5879,bus factor,,,,,0.5890
T3,rail,down,0.5879,bus factor,,,,,0.5890
network,car,up,0.5556,"network, direction (777 sampled)",0.5556,0.4926,0.6358,0.6209,0.6607
network,car,down,0.5220,"network, direction (1001 sampled)",0.5220,0.4463,0.6092,0.6209,0.6256
network,rail,up,0.5556,bus factor,,,,,0.5890
network,rail,down,0.5220,bus factor,,,,,0.5890
network,bus,up,0.5494,"network, direction (143 sampled)",0.5494,0.4630,0.7329,0.5890,0.5890
network,bus,down,0.4568,"network, direction (153 sampled)",0.4568,0.4279,0.6167,0.5890,0.5890
network,rail,up,0.5494,bus factor,,,,,0.5890
network,rail,down,0.4568,bus factor,,,,,0.5890
network,taxi,up,0.5879,"study area, all trips (99 sampled)",0.5680,0.5680,1.0000,0.5879,0.5879
network,taxi,down,0.5879,"study area, all trips (99 sampled)",0.9773,0.7111,1.0000,0.5879,0.5879
network,rail,up,0.5879,bus factor,,,,,0.5890
network,rail,down,0.5879,bus factor,,,,,0.5890
