link,from_code,to_code,from_area,to_area,segment,direction,layer,flow_3h,flow_peak_hour
1,201,202,TiratCarmel,Matam-NeotPeres,trunk,up,car,4012.7,2229.5
1,201,202,TiratCarmel,Matam-NeotPeres,trunk,down,car,1192.2,622.3
2,202,203,Matam-NeotPeres,HofCarmel-NeveDavid,trunk,up,car,2621.5,1456.5
2,202,203,Matam-NeotPeres,HofCarmel-NeveDavid,trunk,down,car,4040.8,2109.3
3,203,204,HofCarmel-NeveDavid,Hecht-Shprintzak,trunk,up,car,2637.9,1465.6
3,203,204,HofCarmel-NeveDavid,Hecht-Shprintzak,trunk,down,car,4037.6,2107.6
4,204,205,Hecht-Shprintzak,EinHayam,trunk,up,car,3281.8,1823.3
4,204,205,Hecht-Shprintzak,EinHayam,trunk,down,car,3957.3,2065.7
5,205,206,EinHayam,BatGalim-KiryatEliezer,trunk,up,car,4078.5,2266.0
5,205,206,EinHayam,BatGalim-KiryatEliezer,trunk,down,car,3671.9,1916.7
6,206,207,BatGalim-KiryatEliezer,Hamoshava,trunk,up,car,4157.9,2310.1
6,206,207,BatGalim-KiryatEliezer,Hamoshava,trunk,down,car,6722.0,3508.9
7,207,208,Hamoshava,LowerCity,trunk,up,car,3057.9,1699.0
7,207,208,Hamoshava,LowerCity,trunk,down,car,5188.1,2708.2
8,208,209,LowerCity,Namal-Giborim,trunk,up,car,2651.8,1473.3
8,208,209,LowerCity,Namal-Giborim,trunk,down,car,6425.2,3354.0
9,209,210,Namal-Giborim,Hamifrats,trunk,up,car,2392.7,1329.4
9,209,210,Namal-Giborim,Hamifrats,trunk,down,car,6755.3,3526.3
10,210,211,Hamifrats,Bazan-Hutsot,trunk,up,car,1602.2,890.2
10,210,211,Hamifrats,Bazan-Hutsot,trunk,down,car,8966.6,4680.6
11,211,212,Bazan-Hutsot,TsometKiryatAta,trunk,up,car,1829.0,1016.2
11,211,212,Bazan-Hutsot,TsometKiryatAta,trunk,down,car,11234.5,5864.4
12,212,213,TsometKiryatAta,KiryatAta North,branch T1,up,car,1318.7,732.6
12,212,213,TsometKiryatAta,KiryatAta North,branch T1,down,car,5829.0,3042.7
13,213,214,KiryatAta North,KiryatAta North-East,branch T1,up,car,1186.7,659.3
13,213,214,KiryatAta North,KiryatAta North-East,branch T1,down,car,5584.0,2914.9
14,214,215,KiryatAta North-East,Shefaram,branch T1,up,car,1166.9,648.3
14,214,215,KiryatAta North-East,Shefaram,branch T1,down,car,4450.0,2322.9
15,215,216,Shefaram,Hamovil,branch T1,up,car,1283.1,712.9
15,215,216,Shefaram,Hamovil,branch T1,down,car,2324.1,1213.2
16,216,217,Hamovil,Nazareth,branch T1,up,car,1342.8,746.1
16,216,217,Hamovil,Nazareth,branch T1,down,car,1781.3,929.9
17,212,104,TsometKiryatAta,KiryatHaim,branch T2,up,car,7857.3,4365.5
17,212,104,TsometKiryatAta,KiryatHaim,branch T2,down,car,11492.6,5999.2
18,104,103,KiryatHaim,KiryatBialik Center,branch T2,up,car,7246.6,4026.2
18,104,103,KiryatHaim,KiryatBialik Center,branch T2,down,car,10750.3,5611.7
19,103,102,KiryatBialik Center,Kiryon,branch T2,up,car,4340.6,2411.6
19,103,102,KiryatBialik Center,Kiryon,branch T2,down,car,5504.5,2873.4
20,102,101,Kiryon,TsurShalom,branch T2,up,car,2446.6,1359.4
20,102,101,Kiryon,TsurShalom,branch T2,down,car,3386.9,1768.0
21,212,304,TsometKiryatAta,KiryatHaim West,branch T3,up,car,4874.5,2708.3
21,212,304,TsometKiryatAta,KiryatHaim West,branch T3,down,car,8937.9,4665.6
22,304,303,KiryatHaim West,KiryatYam B+C,branch T3,up,car,3898.9,2166.2
22,304,303,KiryatHaim West,KiryatYam B+C,branch T3,down,car,7195.9,3756.3
23,303,302,KiryatYam B+C,KiryatYam A,branch T3,up,car,1181.2,656.3
23,303,302,KiryatYam B+C,KiryatYam A,branch T3,down,car,4058.7,2118.6
24,302,301,KiryatYam A,SavyoneyYam,branch T3,up,car,729.8,405.5
24,302,301,KiryatYam A,SavyoneyYam,branch T3,down,car,3029.4,1581.4
1,201,202,TiratCarmel,Matam-NeotPeres,trunk,up,bus,828.6,455.2
1,201,202,TiratCarmel,Matam-NeotPeres,trunk,down,bus,414.9,189.5
2,202,203,Matam-NeotPeres,HofCarmel-NeveDavid,trunk,up,bus,826.9,454.3
2,202,203,Matam-NeotPeres,HofCarmel-NeveDavid,trunk,down,bus,1622.4,741.1
3,203,204,HofCarmel-NeveDavid,Hecht-Shprintzak,trunk,up,bus,942.9,518.0
3,203,204,HofCarmel-NeveDavid,Hecht-Shprintzak,trunk,down,bus,1646.3,752.0
4,204,205,Hecht-Shprintzak,EinHayam,trunk,up,bus,1550.0,851.6
4,204,205,Hecht-Shprintzak,EinHayam,trunk,down,bus,1416.9,647.2
5,205,206,EinHayam,BatGalim-KiryatEliezer,trunk,up,bus,1896.9,1042.1
5,205,206,EinHayam,BatGalim-KiryatEliezer,trunk,down,bus,1200.0,548.1
6,206,207,BatGalim-KiryatEliezer,Hamoshava,trunk,up,bus,1616.9,888.3
6,206,207,BatGalim-KiryatEliezer,Hamoshava,trunk,down,bus,1211.6,553.5
7,207,208,Hamoshava,LowerCity,trunk,up,bus,1749.2,961.0
7,207,208,Hamoshava,LowerCity,trunk,down,bus,1414.5,646.1
8,208,209,LowerCity,Namal-Giborim,trunk,up,bus,1209.6,664.5
8,208,209,LowerCity,Namal-Giborim,trunk,down,bus,2337.5,1067.7
9,209,210,Namal-Giborim,Hamifrats,trunk,up,bus,938.7,515.7
9,209,210,Namal-Giborim,Hamifrats,trunk,down,bus,2618.1,1196.0
10,210,211,Hamifrats,Bazan-Hutsot,trunk,up,bus,793.0,435.7
10,210,211,Hamifrats,Bazan-Hutsot,trunk,down,bus,3213.5,1467.9
11,211,212,Bazan-Hutsot,TsometKiryatAta,trunk,up,bus,644.6,354.1
11,211,212,Bazan-Hutsot,TsometKiryatAta,trunk,down,bus,3835.7,1752.2
12,212,213,TsometKiryatAta,KiryatAta North,branch T1,up,bus,244.0,134.1
12,212,213,TsometKiryatAta,KiryatAta North,branch T1,down,bus,1899.2,867.6
13,213,214,KiryatAta North,KiryatAta North-East,branch T1,up,bus,93.6,51.4
