stop_code,lat,lon,TAZ_NUMBER,journey_origins,boardings_all_legs,alightings_all_legs
47491,32.798651,35.018164,1726,299.2,477.5,303.5
43115,32.803026,35.008786,1311,275.8,536.8,622.5
47490,32.798759,35.018137,1311,239.2,799.5,887.2
42983,32.797915,35.01694,1726,149.0,103.8,77.5
42664,32.794809,35.019894,1727,147.5,79.2,35.0
47183,32.795669,35.018817,1727,119.2,62.8,21.8
47577,32.800713,35.012629,1311,100.2,100.2,10.2
47096,32.79655,35.017819,1727,86.8,39.5,7.5
47578,32.800038,35.013771,1726,76.0,58.5,38.8
47440,32.790283,35.024089,1719,56.2,27.8,2.5
47527,32.803347,35.01085,1311,54.5,211.0,71.8
47884,32.796747,35.01921,1727,50.8,23.8,20.2
42104,32.794189,35.020656,1727,47.8,24.2,5.8
47526,32.800835,35.013919,1311,43.0,16.5,27.0
40270,32.798692,35.017746,1726,40.2,145.0,152.5
47883,32.795252,35.020975,1727,39.2,19.2,8.5
42507,32.793937,35.02211,1727,36.5,34.5,15.5
41842,32.796691,35.019007,1727,29.8,15.0,5.2
47525,32.802371,35.013712,1311,27.0,53.5,67.0
47179,32.79895,35.015087,1726,19.0,12.2,2.2
40271,32.795426,35.021788,1727,17.5,20.5,15.2
42625,32.803454,35.010274,1311,17.5,50.8,8.5
47104,32.790413,35.024652,1719,17.2,15.5,4.0
47437,32.799975,35.013671,1726,6.0,4.0,12.2
41274,32.797615,35.017773,1727,5.5,20.0,25.5
42834,32.804142,35.01112,1311,3.5,7.0,235.8
47728,32.803135,35.010956,1311,3.5,14.2,121.0
43075,32.788078,35.02816,1719,3.2,38.8,94.8
40081,32.803776,35.007782,1311,0.0,0.0,57.0
42981,32.80519,35.01056,1311,0.0,0.0,0.5
