scenario-year,LRT scenario,case,λ,λ_T,premium,transit trips (no-build),LRT trips 06–09,from bus,from car,LRT share of no-build transit,transit share before,transit share after,LRT trips on trunk pairs,LRT trips with an off-line end
2022,LRT all underground,"central (λ 0.03, λ_T 0.06, premium 5)",0.0300,0.0600,5.0000,11664.2710,3332.4352,3037.5054,294.9298,0.2857,0.1713,0.1847,1580.3396,1752.0956
2022,LRT all underground,"low λ (0.02 / 0.03, premium 5)",0.0200,0.0300,5.0000,11664.2710,4855.5660,4150.5222,705.0439,0.4163,0.1713,0.1991,2078.5868,2776.9792
2022,LRT all underground,"high λ (0.05 / 0.10, premium 5)",0.0500,0.1000,5.0000,11664.2710,2357.2198,2180.6105,176.6092,0.2021,0.1713,0.1800,1149.1586,1208.0612
2022,LRT all underground,"no premium (λ central, premium 0)",0.0300,0.0600,0.0000,11664.2710,2658.0267,2471.2019,186.8248,0.2279,0.1713,0.1816,1258.3475,1399.6792
2022,LRT all underground,premium 10 (λ central),0.0300,0.0600,10.0000,11664.2710,4121.9274,3669.2201,452.7073,0.3534,0.1713,0.1886,1954.6739,2167.2535
2022,LRT all ground,"central (λ 0.03, λ_T 0.06, premium 5)",0.0300,0.0600,5.0000,11664.2710,2544.3239,2375.3701,168.9538,0.2181,0.1713,0.1811,1111.5695,1432.7544
2022,LRT all ground,"low λ (0.02 / 0.03, premium 5)",0.0200,0.0300,5.0000,11664.2710,4276.6812,3730.0377,546.6435,0.3666,0.1713,0.1954,1756.4624,2520.2188
2022,LRT all ground,"high λ (0.05 / 0.10, premium 5)",0.0500,0.1000,5.0000,11664.2710,1472.5133,1402.9893,69.5240,0.1262,0.1713,0.1763,616.6584,855.8548
2022,LRT all ground,"no premium (λ central, premium 0)",0.0300,0.0600,0.0000,11664.2710,1999.0741,1895.1950,103.8791,0.1714,0.1713,0.1788,868.0072,1131.0669
2022,LRT all ground,premium 10 (λ central),0.0300,0.0600,10.0000,11664.2710,3199.6183,2931.4586,268.1597,0.2743,0.1713,0.1841,1405.4634,1794.1550
